תחום גאוגרפי,סוג דרך,יחידה משטרתית,חודש תאונה,שעה,סוג יום,יום/לילה ,יום בשבוע,חומרת התאונה,סוג תאונה,דרך חד מסלולית,דרך רב מסלולית,מהירות מותרת,תקינות הדרך,רוחב הכביש,סימון/תימרור,תאורה,מזג אוויר,מצב פני הכביש,אופן חצייה,מקום חציה,מחוז,סמל יישוב,רחוב 1,רחוב 2,סוג עצם,מרחק עצם,לא חצה
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,מרץ,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,8600,505,205,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השרון,מאי,20:00-23:59,יום אחר,לילה,ראשון,קשה,פגיעה בהולך רגל,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,חיפה,9700,135,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השפלה,אוגוסט,14:00-16:59,יום אחר,יום,רביעי,קשה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,8300,403,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,ספטמבר,10:00-13:59,יום אחר,יום,חמישי,קשה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הדרום,0,701,704,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,דצמבר,17:00-19:59,יום אחר,יום,רביעי,קלה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,כביש משובש,10.5 עד 14,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,3000,3004,1620,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אוגוסט,20:00-23:59,יום אחר,לילה,ראשון,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,0,109,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,ספטמבר,14:00-16:59,יום אחר,יום,ראשון,קשה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,0,221,443,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,ספטמבר,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,6200,304,454,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,10:00-13:59,יום אחר,יום,שישי,קשה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,5000,335,336,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אוקטובר,00:00-05:59,יום אחר,לילה,ראשון,קלה,התנגשות עם רכב שנעצר ללא חניה,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,0,600,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,יולי,17:00-19:59,יום אחר,יום,ראשון,קטלנית,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,הדרום,0,146,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב גליל,אפריל,10:00-13:59,יום אחר,יום,חמישי,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,לא ידוע,לא ידוע,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,תל אביב,7600,2378,2216,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,יולי,17:00-19:59,יום אחר,יום,שני,קלה,פגיעה בהולך רגל,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,6100,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,דצמבר,00:00-05:59,יום אחר,לילה,שני,קשה,התנגשות עם עצם דומם,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,0,916,456,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,נובמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,ירושלים,70,1150,983,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,פברואר,14:00-16:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,אין ליקוי,יותר מ-14,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,המרכז,0,532,407,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב לכיש,אוקטובר,20:00-23:59,חול המועד,לילה,חמישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,לא ידוע,7 עד 10.5,סימון לקוי/חסר,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה לא ליד צומת,ירושלים,0,4128,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב גליל,ינואר,06:00-09:59,יום אחר,יום,שלישי,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,תימרור לקוי/חסר,לילה לא ידוע,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,6000,136,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,אפריל,06:00-09:59,יום אחר,יום,שבת,קלה,התנגשות חזית באחור,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,גשום,יבש,התפרץ אל הכביש,לא במעבר חציה ליד צומת,ירושלים,3000,1714,1736,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב אילת,ינואר,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,2600,327,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השפלה,מאי,06:00-09:59,יום אחר,יום,חמישי,קטלנית,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,2530,221,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב חוף (חיפה),דצמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל חזית,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,0,502,906,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,מאי,10:00-13:59,יום אחר,יום,שלישי,קשה,התנגשות אחור אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,ירושלים,0,1714,1847,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב לכיש,מאי,17:00-19:59,יום אחר,לילה,רביעי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,ירושלים,0,1527,1508,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,נובמבר,14:00-16:59,יום אחר,יום,רביעי,קלה,אחר,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,אור יום רגיל,גשום,רטוב ממים,אחר,במעבר חציה בלי רמזור,המרכז,5000,1280,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השרון,נובמבר,20:00-23:59,יום אחר,לילה,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה תאורה לא תקינה עם ראות מוגבלת,בהיר,יבש,חצה רגיל,לא במעבר חציה ליד צומת,המרכז,8700,202,216,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,מרץ,20:00-23:59,יום אחר,לילה,שבת,קשה,התנגשות חזית אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,תל אביב,0,1620,1697,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,נובמבר,14:00-16:59,יום אחר,יום,שני,קשה,פגיעה בנוסע בתוך כלי רכב,חד סיטרי,לא ידוע,120 קמש,אין ליקוי,יותר מ-14,אין ליקוי,לילה לא קיימת תאורה,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,הצפון,3000,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,אוקטובר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,לילה לא ידוע,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה ליד צומת,תל אביב,3000,416,205,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב הנגב,מרץ,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,1082,374,387,9,9,9
